line_number,trans_date_trans_time,merchant,category,amt,gender,city,state,city_pop,job,unix_time,is_fraud,age
1,2019-01-01 00:42:26,fraud_Macejkovic-Lesch,shopping_pos,8.57,F,Surrency,GA,1324,"Engineer, technical sales",1325378546,0,98
2,2019-01-01 01:31:53,fraud_Weber and Sons,food_dining,98.24,F,Meadville,MS,2799,"Therapist, horticultural",1325381513,0,63
3,2019-01-01 02:14:41,"fraud_Wiza, Schaden and Stark",misc_pos,34.76,M,Easton,KS,1442,Air broker,1325384081,0,42
4,2019-01-01 03:04:28,fraud_Hills-Olson,grocery_net,25.89,F,Pembroke Township,IL,2135,"Psychotherapist, child",1325387068,0,20
5,2019-01-01 03:57:43,"fraud_Ruecker, Beer and Collier",shopping_net,87.91,M,Smithfield,IL,631,Futures trader,1325390263,0,51
6,2019-01-01 04:45:43,fraud_Rau and Sons,grocery_pos,124.7,F,Uledi,PA,328,Tree surgeon,1325393143,0,41
7,2019-01-01 05:39:44,fraud_Bartoletti-Wunsch,gas_transport,56.65,F,Blairsden-Graeagle,CA,1725,Chartered legal executive (England and Wales),1325396384,0,57
8,2019-01-01 06:24:59,fraud_Corwin-Collins,gas_transport,79.27,F,Comfort,WV,630,Fine artist,1325399099,0,65
9,2019-01-01 07:10:26,"fraud_Christiansen, Goyette and Schamberger",gas_transport,92.76,F,Mendon,UT,2078,"Scientist, audiological",1325401826,0,61
10,2019-01-01 07:57:37,fraud_Jast-McDermott,shopping_pos,127.2,M,Acworth,NH,477,Naval architect,1325404657,0,36
11,2019-01-01 08:45:39,fraud_Erdman-Kertzmann,gas_transport,56.16,F,Utica,MO,271,Land/geomatics surveyor,1325407539,0,52
12,2019-01-01 09:29:58,fraud_Schamberger-O'Keefe,grocery_pos,197.16,F,Meridian,ID,84106,Intelligence analyst,1325410198,0,53
13,2019-01-01 10:08:54,fraud_Conroy-Cruickshank,gas_transport,49.18,F,Rule,TX,932,"Physicist, medical",1325412534,0,70
14,2019-01-01 10:52:40,fraud_Miller-Harris,misc_net,7.81,M,Detroit,MI,673342,Trading standards officer,1325415160,0,78
15,2019-01-01 11:32:19,"fraud_Schaefer, Maggio and Daugherty",gas_transport,48.93,F,Thomas,WV,836,Forensic psychologist,1325417539,0,43
16,2019-01-01 12:26:57,fraud_Bednar Inc,travel,5.09,F,Central,IN,350,Counsellor,1325420817,0,69
17,2019-01-01 12:56:22,fraud_Labadie LLC,personal_care,48.62,F,Saint Paul,MN,753116,Fisheries officer,1325422582,0,53
18,2019-01-01 13:27:53,"fraud_Bradtke, Torp and Bahringer",personal_care,20.27,M,Arvada,CO,122111,Hotel manager,1325424473,0,37
19,2019-01-01 13:57:31,fraud_Crona and Sons,kids_pets,23.45,M,Humble,TX,194500,Tax adviser,1325426251,0,33
20,2019-01-01 14:27:50,fraud_Rippin-VonRueden,health_fitness,1.75,F,Noonan,ND,248,Industrial/product designer,1325428070,0,56
21,2019-01-01 14:57:28,fraud_Baumbach Ltd,personal_care,16.25,M,Wales,AK,145,"Administrator, education",1325429848,0,85
22,2019-01-01 15:20:16,fraud_Weimann-Lockman,kids_pets,32.23,F,Holcomb,KS,2691,Arboriculturist,1325431216,0,31
23,2019-01-01 15:44:51,fraud_White and Sons,home,21.08,M,East Troy,WI,9679,"Engineer, production",1325432691,0,33
24,2019-01-01 16:07:26,fraud_Little Ltd,kids_pets,4.32,M,Pittsburgh,PA,687276,"Scientist, marine",1325434046,0,51
25,2019-01-01 16:34:19,"fraud_Bins, Balistreri and Beatty",shopping_pos,187.26,F,Ogdensburg,NJ,2456,Senior tax professional/tax inspector,1325435659,0,30
26,2019-01-01 17:03:20,fraud_Nolan-Williamson,kids_pets,62.0,F,New York City,NY,1577385,"Pharmacist, hospital",1325437400,0,63
27,2019-01-01 17:38:35,fraud_Kutch-Ferry,home,77.97,M,Mount Saint Joseph,OH,177,Exhibition designer,1325439515,0,50
28,2019-01-01 18:11:43,"fraud_Conroy, Balistreri and Gorczany",health_fitness,74.4,M,Mount Saint Joseph,OH,177,Exhibition designer,1325441503,0,50
29,2019-01-01 18:40:20,"fraud_Windler, Goodwin and Kovacek",home,19.04,F,Scotland,MD,313,Insurance underwriter,1325443220,0,48
30,2019-01-01 19:08:52,fraud_Howe PLC,entertainment,34.67,F,Mc Cracken,KS,320,Film/video editor,1325444932,0,63
31,2019-01-01 19:35:55,"fraud_Torp, Muller and Borer",health_fitness,29.48,M,Cochranton,PA,5507,Retail merchandiser,1325446555,0,51
32,2019-01-01 20:05:22,"fraud_Dare, Casper and Bartoletti",kids_pets,79.25,F,Rochester,KY,443,"Development worker, international aid",1325448322,0,77
33,2019-01-01 20:43:33,fraud_Reilly LLC,home,33.78,F,Vanderbilt,PA,2303,Physiotherapist,1325450613,0,37
34,2019-01-01 21:12:06,"fraud_Dare, Fritsch and Zboncak",health_fitness,4.57,F,Eugene,OR,191096,"Scientist, physiological",1325452326,0,60
35,2019-01-01 21:38:44,fraud_Kuhn Group,food_dining,33.89,F,Carlotta,CA,1139,"Therapist, occupational",1325453924,0,73
36,2019-01-01 22:05:08,fraud_Bernier and Sons,kids_pets,52.73,F,Miamisburg,OH,36784,"Investment banker, corporate",1325455508,0,83
37,2019-01-01 22:38:15,"fraud_Okuneva, Schneider and Rau",shopping_pos,133.22,M,Harper,TX,2395,"Pharmacist, community",1325457495,0,31
38,2019-01-01 23:09:47,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,187.83,F,Kingsford Heights,IN,1423,"Psychologist, forensic",1325459387,0,26
39,2019-01-01 23:40:57,"fraud_Turcotte, Batz and Buckridge",health_fitness,2.77,F,Stephensport,KY,344,Chartered public finance accountant,1325461257,0,57
40,2019-01-02 00:44:35,fraud_Dach-Borer,grocery_net,111.24,M,Wichita,KS,409656,Heritage manager,1325465075,0,38
41,2019-01-02 02:41:15,fraud_Miller-Harris,misc_net,22.66,M,Falmouth,MI,1126,Furniture designer,1325472075,0,69
42,2019-01-02 04:04:49,fraud_Fisher Inc,shopping_net,1.42,F,Catawba,VA,1363,Equality and diversity officer,1325477089,0,84
43,2019-01-02 05:56:42,"fraud_Mosciski, Gislason and Mertz",grocery_pos,55.04,M,Damascus,VA,3085,Land/geomatics surveyor,1325483802,0,34
44,2019-01-02 07:14:45,"fraud_Kerluke, Kertzmann and Wiza",misc_net,106.01,M,Leetsdale,PA,1140,"Administrator, education",1325488485,0,38
45,2019-01-02 09:15:55,fraud_Funk Group,grocery_net,16.5,M,Spring Church,PA,972,Public relations account executive,1325495755,0,27
46,2019-01-02 10:39:59,fraud_Rodriguez Group,gas_transport,40.85,F,Llano,NM,247,Architectural technologist,1325500799,0,63
47,2019-01-02 12:19:00,fraud_Baumbach Ltd,personal_care,23.26,F,San Angelo,TX,103927,Drilling engineer,1325506740,0,62
48,2019-01-02 13:30:16,fraud_Abbott-Rogahn,entertainment,82.37,F,New York City,NY,1577385,Herbalist,1325511016,0,43
